tenant_id,active,mapper_cores,mapper_memory,tenant_name,mapper_pod
1031,1,256,50g,Biglots(churn),pod_1031
1026,1,32,50g,Roots(churn),pod_1026
10149,1,32,50g,MountainSteals,pod_MountainSteals
10181,1,32,50g,PVH_TH_ANZ(churn),pod_PVH_TH_ANZ
10186,1,32,50g,QAPRODGCP,pod_QAPRODGCP
1076,1,32,50g,UAT_TommyHilfiger,pod_1076
10179,1,32,50g,UAT_JCrew (churn),pod_UAT_JCrew
1049,1,32,50g,Godiva(churn),pod_1049
1045,1,32,50g,Lafayette148,pod_1045
1065,1,32,50g,GeorgiaPacific(Churn),pod_1065
1033,1,64,50g,CalvinKlein,pod_1033
1057,1,32,50g,PeterGlenn,pod_1057
1067,1,32,50g,UAT_CalvinKlein,pod_1067
10167,1,128,50g,LowesCA,pod_LowesCA
1052,1,64,50g,DollarGeneral(churn),pod_1052
1054,1,32,50g,Century21,pod_1054
10183,1,32,50g,PVH_TH_ANZ_UAT(churn),pod_PVH_TH_ANZ_UAT
465,1,32,50g,Demo(Retired)(churn),pod_465
10100,1,32,50g,TheCompanyStore(churn),pod_10100
1028,1,64,50g,SmartandFinal,pod_1028
1080,1,32,50g,LillyPulitzer(churn),pod_1080
1091,1,32,50g,AcquiaInternalMilesInc,pod_1091
10175,1,32,50g,BigLots_UAT(churn),pod_BigLots_UAT
10114,1,32,50g,Apollo(Internal),pod_Apollo
1,1,8,32g,AgilOneUsers,podnone
10169,1,128,50g,BelkInc,pod_Belk
10180,1,32,50g,UAT_MadeWell(churn),pod_UAT_MadeWell
10171,1,32,50g,CanadaGoose,pod_CanadaGoose
1062,1,32,50g,BestCigarPrices(churn),pod_1062
1083,1,32,50g,JamesAvery(Retired),pod_1083
1038,1,64,50g,TommyHilfiger,pod_1038
1075,1,32,50g,HugoBoss,pod_1075
1071,1,32,50g,UAT_HeritageBrands(churn),pod_1071
10142,1,32,50g,Moosejaw,pod_MooseJaw
1089,1,32,50g,Madewell,pod_1089
1021,1,32,50g,OliveTree(churn),pod_1021
1041,1,64,50g,HeritageBrands(churn),pod_1041
1023,1,32,50g,ElizabethArden(churn),pod_1023
10173,1,32,50g,PVH_GlobalUAT,pod_PVH_Global
10185,1,32,50g,PVH_CK_ANZ(churn),pod_PVH_CK_ANZ
1086,1,192,50g,JCrew,pod_1086
0,1,32,50g,Agilone Base,pod1
1060,1,32,50g,SoClean(Churn),pod_1060
10184,1,32,50g,PVH_CK_ANZ_UAT(churn),pod_PVH_CK_ANZ_UAT
1078,1,32,50g,QARegression,pod_1078
